depth,Slice1L,Slice1R,Slice2L,Slice2R,Slice3L,Slice3R,Slice4L,Slice4R
0.1,0.8526448362720404,0.5539143279172821,0.8694516971279374,0.9421383647798742,0.6038709677419355,0.918444165621079,0.8803088803088803,0.956140350877193
0.2,0.8753148614609572,0.5465288035450517,0.8903394255874674,0.9408805031446541,0.9380645161290323,0.9335006273525721,0.8906048906048906,0.9473684210526315
0.3,0.8652392947103275,0.5406203840472673,0.8929503916449086,0.9270440251572327,0.9535483870967741,0.9297365119196989,0.8712998712998713,0.9385964912280702
0.4,0.8375314861460957,0.5199409158050221,0.8707571801566579,0.9220125786163522,0.9716129032258064,0.9247176913425345,0.9021879021879022,0.924812030075188
0.5,0.845088161209068,0.4933530280649926,0.8720626631853786,0.9220125786163522,0.9587096774193549,0.93099121706399,0.918918918918919,0.9160401002506265
0.6,0.8375314861460957,0.465288035450517,0.8433420365535248,0.9811320754716981,0.9651612903225807,0.9247176913425345,0.9356499356499357,0.9172932330827067
0.7,0.8501259445843828,0.4505169867060561,0.8263707571801566,0.9823899371069182,0.9432258064516129,0.903387703889586,0.9562419562419563,0.9235588972431078
0.8,0.8400503778337531,0.4460856720827179,0.7963446475195822,0.9823899371069182,0.944516129032258,0.904642409033877,0.9536679536679536,0.9110275689223057
0.9,0.8211586901763224,0.465288035450517,0.7689295039164491,0.9723270440251572,0.9393548387096774,0.9071518193224593,0.9305019305019305,0.8872180451127819
1.0,0.801007556675063,0.4667651403249631,0.7349869451697127,0.9735849056603774,0.9432258064516129,0.8983688833124216,0.9395109395109396,0.8320802005012531
1.1,0.818639798488665,0.45790251107828656,0.6814621409921671,0.9685534591194969,0.9419354838709677,0.8745294855708908,0.9433719433719434,0.7994987468671679
1.2,0.8110831234256927,0.4638109305760709,0.643603133159269,0.9547169811320755,0.9509677419354838,0.8594730238393977,0.9472329472329473,0.7869674185463659
1.3,0.7947103274559194,0.4667651403249631,0.5953002610966057,0.9572327044025157,0.9496774193548387,0.8080301129234629,0.9459459459459459,0.7531328320802005
1.4,0.792191435768262,0.4549483013293944,0.5443864229765013,0.9522012578616352,0.9483870967741935,0.7754077791718946,0.9330759330759331,0.706766917293233
1.5,0.7682619647355163,0.4519940915805022,0.5,0.9584905660377359,0.96,0.7653701380175659,0.9111969111969112,0.6240601503759399
1.6,0.7468513853904282,0.4534711964549483,0.4516971279373368,0.9647798742138365,0.9651612903225807,0.7653701380175659,0.915057915057915,0.5977443609022557
