 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67     58.44     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   68     59.56     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   69     60.67     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   70     61.80     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   71     62.93     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   72     64.07     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   73     65.21     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   74     66.36     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   75     67.52     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   76     68.69     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   77     69.86     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   78     71.04     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   79     72.22     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   80     73.41     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   81     74.61     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   82     75.82     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   83     77.03     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   84     78.25     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   85     79.47     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   86     80.71     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   87     81.95     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   88     83.19     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   89     84.44     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   90     85.70     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   91     86.97     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   92     88.24     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   93     89.52     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   94     90.81     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   95     92.10     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   96     93.40     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   97     94.71     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   98     96.02     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
   99     97.34     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
  100     98.67     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
  101    100.00     0.067     0.450       0.0   0.108E+02     1.000     0.000     1.000     1.000     1.000
end
