 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30. 1.2024    Time:  16:22:54
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     257.0000  0.36277E+00  0.00000E+00  0.36277E+00  0.00000E+00 -0.12745E-07 -0.33787E+01  0.00000E+00 -0.38490E+01  0.00000E+00 -0.63722E-07 -0.62473E+03 -0.33131E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13849E+02  0.55000E+01  0.16510E+01    223  0.00000E+00      0.000
     258.0000  0.36784E+00  0.00000E+00  0.26854E+00  0.00000E+00 -0.12745E-07 -0.30109E+01  0.00000E+00 -0.34867E+01  0.00000E+00 -0.76467E-07 -0.10000E+06 -0.37038E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13487E+02  0.55000E+01  0.20133E+01    232  0.00000E+00      0.000
     258.0320  0.36517E+00  0.00000E+00  0.23740E+00  0.00000E+00 -0.12745E-07 -0.29992E+01  0.00000E+00 -0.34789E+01  0.00000E+00 -0.76875E-07 -0.10000E+06 -0.36856E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13479E+02  0.55006E+01  0.20217E+01    241  0.00000E+00      0.000
     259.0000  0.36517E+00  0.00000E+00  0.11988E+00  0.00000E+00 -0.12745E-07 -0.26457E+01  0.00000E+00 -0.33269E+01  0.00000E+00 -0.89212E-07 -0.10000E+06 -0.31542E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13327E+02  0.55200E+01  0.21931E+01    256  0.00000E+00      0.000
     260.0000  0.40326E+00  0.00000E+00  0.90908E-01  0.00000E+00 -0.12745E-07 -0.22424E+01  0.00000E+00 -0.32253E+01  0.00000E+00 -0.10196E-06 -0.10000E+06 -0.27094E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13225E+02  0.55200E+01  0.22947E+01    261  0.00000E+00      0.000
     261.0000  0.37630E+00  0.00000E+00  0.68953E-01  0.00000E+00 -0.12745E-07 -0.18661E+01  0.00000E+00 -0.31477E+01  0.00000E+00 -0.11470E-06 -0.10000E+06 -0.23569E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13148E+02  0.55200E+01  0.23723E+01    266  0.00000E+00      0.000
     262.0000  0.34933E+00  0.00000E+00  0.58285E-01  0.00000E+00 -0.12745E-07 -0.15168E+01  0.00000E+00 -0.30851E+01  0.00000E+00 -0.12745E-06 -0.10000E+06 -0.20783E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13085E+02  0.55200E+01  0.24349E+01    274  0.00000E+00      0.000
     262.0176  0.91510E-01  0.00000E+00  0.58180E-01  0.00000E+00 -0.12745E-07 -0.15152E+01  0.00000E+00 -0.30840E+01  0.00000E+00 -0.12767E-06 -0.10000E+06 -0.20746E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13084E+02  0.55239E+01  0.24398E+01    281  0.00000E+00      0.000
     263.0000  0.91510E-01  0.00000E+00  0.50858E-01  0.00000E+00 -0.12745E-07 -0.14253E+01  0.00000E+00 -0.30308E+01  0.00000E+00 -0.14019E-06 -0.10000E+06 -0.19801E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13031E+02  0.57400E+01  0.27092E+01    296  0.00000E+00      0.000
     263.0090  0.27659E+00  0.00000E+00  0.50492E-01  0.00000E+00 -0.12745E-07 -0.14228E+01  0.00000E+00 -0.30304E+01  0.00000E+00 -0.14030E-06 -0.10000E+06 -0.19797E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.13030E+02  0.57404E+01  0.27100E+01    301  0.00000E+00      0.000
     264.0000  0.27659E+00  0.00000E+00  0.43169E-01  0.00000E+00 -0.12745E-07 -0.11487E+01  0.00000E+00 -0.29843E+01  0.00000E+00 -0.15293E-06 -0.10000E+06 -0.19606E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12984E+02  0.57800E+01  0.27957E+01    318  0.00000E+00      0.000
     264.0040 -0.21969E+00  0.00000E+00 -0.21969E+00  0.00000E+00 -0.12745E-07 -0.11496E+01  0.00000E+00 -0.29852E+01  0.00000E+00 -0.15298E-06 -0.67807E+05 -0.15976E+04 -0.19756E+05  0.00000E+00  0.00000E+00  0.12985E+02  0.57820E+01  0.27968E+01    321  0.00000E+00      0.000
